readLength	count	fracTotal	fracReadsGreater
2877	6	0.000437701	0.070105
2878	9	0.000656551	0.0694485
2879	11	0.000802451	0.068646
2880	6	0.000437701	0.0682083
2881	10	0.000729501	0.0674788
2882	14	0.0010213	0.0664575
2883	9	0.000656551	0.065801
2884	13	0.000948351	0.0648526
2885	14	0.0010213	0.0638313
2886	17	0.00124015	0.0625912
2887	19	0.00138605	0.0612051
2888	19	0.00138605	0.0598191
2889	18	0.0013131	0.058506
2890	27	0.00196965	0.0565363
2891	22	0.0016049	0.0549314
2892	17	0.00124015	0.0536913
2893	22	0.0016049	0.0520864
2894	17	0.00124015	0.0508462
2895	13	0.000948351	0.0498979
2896	14	0.0010213	0.0488766
2897	7	0.000510651	0.0483659
2898	18	0.0013131	0.0470528
2899	18	0.0013131	0.0457397
2900	8	0.000583601	0.0451561
2901	12	0.000875401	0.0442807
2902	5	0.000364751	0.043916
2903	8	0.000583601	0.0433324
2904	5	0.000364751	0.0429676
2905	3	0.00021885	0.0427488
2906	3	0.00021885	0.0425299
2907	3	0.00021885	0.0423111
2908	3	0.00021885	0.0420922
2909	4	0.0002918	0.0418004
2910	1	7.29501e-05	0.0417275
2911	1	7.29501e-05	0.0416545
2912	1	7.29501e-05	0.0415816
2919	1	7.29501e-05	0.0415086
2920	1	7.29501e-05	0.0414357
2922	3	0.00021885	0.0412168
2923	1	7.29501e-05	0.0411439
2924	1	7.29501e-05	0.0410709
2925	1	7.29501e-05	0.040998
2928	2	0.0001459	0.0408521
2932	2	0.0001459	0.0407062
2933	2	0.0001459	0.0405603
2934	1	7.29501e-05	0.0404873
2936	1	7.29501e-05	0.0404144
2937	1	7.29501e-05	0.0403414
2938	3	0.00021885	0.0401226
2939	2	0.0001459	0.0399767
2940	2	0.0001459	0.0398308
2941	2	0.0001459	0.0396849
2942	3	0.00021885	0.039466
2943	3	0.00021885	0.0392472
2944	2	0.0001459	0.0391013
2945	2	0.0001459	0.0389554
2946	3	0.00021885	0.0387365
2947	5	0.000364751	0.0383718
2948	6	0.000437701	0.0379341
2949	7	0.000510651	0.0374234
2950	9	0.000656551	0.0367669
2951	4	0.0002918	0.0364751
2952	5	0.000364751	0.0361103
2953	13	0.000948351	0.0351619
2954	8	0.000583601	0.0345783
